,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Jablonne nad Orlici,75,CZ,1508871600,100,50.03,16.6,48.2,1.12
1,Pervomayskiy,68,RU,1508873827,78,53.25,40.29,23.06,3.6
2,Piedmont,20,US,1508871480,22,37.82,-122.23,87.8,16.11
3,Kafr Kama,0,IL,1508871000,64,32.72,35.44,71.6,3.36
4,Utrecht,75,NL,1508873100,88,52.09,5.12,62.6,19.46
5,Slobozia-Campineanca,56,RO,1508873828,92,45.7,27.13,40.7,16.8
6,Feijo,75,BR,1508868000,59,-8.16,-70.35,89.6,6.93
7,Tarbagatay,0,RU,1508871600,85,51.48,107.36,19.4,2.24
8,Gantt,1,US,1508872500,32,34.8,-82.42,69.8,18.34
9,Marly-le-Roi,75,FR,1508871600,93,48.87,2.08,62.6,6.93
10,Tyumentsevo,44,RU,1508873829,82,53.32,81.5,29.54,20.83
11,Riofrio,90,CO,1508871600,100,4.16,-76.29,68.0,4.7
12,Brighton,75,GB,1508872800,100,50.83,-0.14,60.8,9.17
13,Hlusha,0,BY,1508873830,84,53.09,28.86,24.68,7.63
14,Horve,92,DK,1508872800,93,55.75,11.45,51.8,13.87
15,Bangaon,40,IN,1508873400,88,23.07,88.82,78.8,4.7
16,Couva,40,TT,1508871600,74,10.42,-61.47,84.2,10.29
17,Oberhaching,0,DE,1508872800,87,48.03,11.6,46.4,3.36
18,La Vergne,75,US,1508871360,36,36.02,-86.58,62.6,14.99
19,Ikauna,0,IN,1508873832,80,27.55,81.97,58.52,3.6
20,Liedekerke,40,BE,1508873100,88,50.87,4.08,62.6,6.93
21,Boscotrecase,40,IT,1508871300,41,40.77,14.46,64.4,4.7
22,Sirnak,32,TR,1508873833,83,37.52,42.46,32.64,2.15
23,San Juan del Sur,75,NI,1508871600,83,11.25,-85.87,82.4,7.63
24,Shudayag,56,RU,1508873833,84,63.53,53.61,23.51,4.72
25,Walkden,75,GB,1508872800,93,53.52,-2.4,59.0,5.82
26,Santor,20,PH,1508871600,100,14.1,121.11,77.0,4.38
27,Arinos,12,BR,1508873834,23,-15.92,-46.11,87.27,10.98
28,Court-Saint-Etienne,75,BE,1508872800,87,50.63,4.57,62.6,12.75
29,Boguchar,92,RU,1508873835,73,49.94,40.55,35.3,11.65
30,Calabaca,48,PH,1508873835,96,14.3,122.43,81.47,13.78
31,Naranjos,12,MX,1508873836,85,21.35,-97.68,79.31,14.56
32,Cao Bang,0,VN,1508873836,92,22.67,106.25,54.42,1.81
33,Ponta do Sol,75,PT,1508871600,77,32.67,-17.1,69.8,3.15
34,Kokhma,80,RU,1508873836,95,56.93,41.09,29.49,7.96
35,Tayzhina,92,RU,1508873837,100,53.67,87.44,40.43,10.2
36,North Vernon,90,US,1508872560,61,39.01,-85.62,50.0,16.11
37,Chievres,88,BE,1508872800,100,50.59,3.81,62.6,5.82
38,Monte Mor,40,BR,1508871600,51,-22.95,-47.32,80.6,11.41
39,Ibiuna,90,BR,1508871600,82,-23.66,-47.22,66.2,11.41
40,Ocoee,75,US,1508871780,65,28.57,-81.54,80.6,3.36
41,Ulsteinvik,75,NO,1508872800,70,62.34,5.85,48.2,19.46
42,Honefoss,92,NO,1508873839,100,60.17,10.26,38.67,8.52
43,Luica,75,RO,1508871600,87,44.23,26.58,46.4,21.92
44,Boueni,0,YT,1508871600,74,-12.9,45.08,80.6,4.7
45,Kinsale,75,IE,1508871600,100,51.71,-8.53,57.2,24.16
46,Valderrama,8,PH,1508873840,100,11.41,122.08,79.71,6.96
47,Chelan,1,US,1508871300,70,47.84,-120.02,48.2,2.82
48,Kopavogur,0,IS,1508871600,75,64.11,-21.91,46.4,3.36
49,Canton,90,US,1508872440,62,42.31,-83.48,55.4,18.34
50,Rioja,88,PE,1508873842,97,-6.06,-77.17,68.33,2.59
51,Faget,0,RO,1508871600,81,45.85,22.18,50.0,14.99
52,La Orotava,0,ES,1508873400,64,28.39,-16.52,75.2,2.24
53,Alwar Tirunagari,56,IN,1508873843,92,8.6,77.95,77.15,6.73
54,Mihail Eminescu,75,RO,1508871600,93,47.78,26.92,39.2,11.41
55,Tomobe,75,JP,1508871600,87,36.35,140.3,53.6,3.36
56,Tafresh,12,IR,1508873844,57,34.69,50.01,38.72,2.37
57,Granby,90,CA,1508872560,93,45.4,-72.73,73.4,5.82
58,Recodo,90,PH,1508868000,94,6.95,121.96,77.0,4.38
59,Broager,92,DK,1508872800,93,54.89,9.68,57.2,14.99
60,Ardesen,0,TR,1508871600,55,41.19,40.99,64.4,25.28
61,Cofradia,75,HN,1508871600,70,15.4,-88.15,87.8,4.7
62,Himatangi,24,NZ,1508873846,93,-40.4,175.32,56.49,24.85
63,Kaman,0,IN,1508873847,55,27.65,77.27,62.97,2.93
64,Kolut,40,RS,1508873400,76,45.89,18.93,51.8,13.87
65,Voineasa,90,RO,1508871600,93,44.28,24.13,48.2,19.46
66,Orahovac,75,XK,1508871600,75,42.4,20.65,42.8,8.05
67,Ishioka,75,JP,1508871600,87,36.18,140.27,53.6,3.36
68,Pszczyna,40,PL,1508873400,93,49.98,18.95,42.8,6.93
69,Kaytitinga,20,PH,1508871600,100,14.11,120.83,77.0,6.4
70,Raya,0,IN,1508873849,59,27.57,77.78,64.73,2.93
71,Sertania,76,BR,1508873850,63,-8.07,-37.26,77.37,12.77
72,Magocs,0,HU,1508873850,89,46.35,18.23,45.56,9.19
73,Clinton,90,US,1508872440,62,42.59,-82.92,55.4,18.34
74,El Cocuy,92,CO,1508873851,93,6.41,-72.44,54.47,1.81
75,Chipiona,0,ES,1508873400,63,36.74,-6.44,69.8,21.16
76,Kitaibaraki,92,JP,1508873851,100,36.78,140.75,61.31,11.65
77,Huatabampo,5,MX,1508870400,12,26.83,-109.63,100.4,5.82
78,Enna,40,IT,1508871300,52,37.56,14.29,64.4,12.75
79,Affoltern am Albis,0,CH,1508871000,81,47.28,8.45,50.0,3.36
80,Pio IX,0,BR,1508873852,30,-6.84,-40.58,90.11,11.77
81,Vicar,0,ES,1508873400,72,36.83,-2.64,68.0,6.93
82,Houma,5,US,1508872500,25,29.6,-90.72,75.2,13.87
83,Davenport,90,US,1508872500,61,41.52,-90.58,51.8,23.04
84,Horuphav,92,DK,1508872800,93,54.91,9.9,57.2,14.99
85,Ferndale,90,US,1508872440,62,42.46,-83.13,55.4,18.34
86,Loncoche,75,CL,1508871600,62,-39.37,-72.63,59.0,4.7
87,San Nicolas,75,PH,1508868000,78,18.17,120.6,78.8,6.93
88,Chandannagar,40,IN,1508873400,88,22.87,88.38,78.8,4.7
89,Vilhena,75,BR,1508871600,74,-12.74,-60.15,80.6,3.36
90,Villemomble,90,FR,1508871600,88,48.88,2.5,62.6,5.82
91,Zandvoort,75,NL,1508873100,88,52.37,4.53,62.6,19.46
92,Francesti,92,RO,1508873856,97,45.0,24.1,49.43,4.16
93,Vasai,0,IN,1508873400,58,19.47,72.8,82.4,4.7
94,Banda Aceh,56,ID,1508873856,100,5.56,95.32,74.99,1.59
95,Blagoyevo,100,RU,1508873856,95,63.37,47.92,30.17,3.94
96,Spilimbergo,0,IT,1508871300,87,46.11,12.9,53.6,8.05
97,Arcos,44,BR,1508873857,81,-20.28,-45.54,69.5,6.96
98,Cayungnan,0,PH,1508873857,100,16.13,119.84,77.51,3.94
99,Craiova,90,RO,1508871600,93,44.32,23.8,48.2,19.46
100,Stanceni,20,RO,1508873858,91,46.98,25.23,35.39,2.48
101,Akhaldaba,0,GE,1508871600,55,41.65,42.15,66.2,25.28
102,Pesochnoye,76,RU,1508873859,100,58.01,39.18,29.63,3.49
103,Lagunillas,40,VE,1508868000,70,10.13,-71.26,93.2,6.93
104,Harper,64,LR,1508873859,100,4.38,-7.72,80.03,8.41
105,Porgera,92,PG,1508873860,98,-5.47,143.2,54.06,2.15
106,Sassandra,75,CI,1508871600,83,4.95,-6.08,80.6,6.93
107,Cavan,92,IE,1508873861,92,53.99,-7.36,52.04,12.33
108,Tibnah,0,JO,1508871600,68,32.48,35.73,64.4,3.36
109,Rudne,90,UA,1508871600,100,49.83,23.9,37.4,6.71
110,Bermejillo,40,MX,1508870460,36,25.88,-103.62,78.8,13.87
111,Reno,1,US,1508872500,34,39.53,-119.81,66.2,8.05
112,Kuala Kangsar,75,MY,1508871600,88,4.77,100.93,78.8,4.72
113,Tlaxcalancingo,0,MX,1508873863,37,19.03,-98.27,64.59,13.22
114,Zacualpan,5,MX,1508870820,33,21.25,-105.17,87.8,11.41
115,Shimodate,75,JP,1508871600,87,36.3,139.98,53.6,3.36
116,Maragogi,92,BR,1508873864,92,-9.01,-35.22,75.8,10.2
117,Fenoarivo Atsinanana,100,MG,1508873864,86,-17.37,49.42,68.06,2.04
118,Agbor,68,NG,1508873865,97,6.25,6.19,75.21,4.83
119,Drancy,90,FR,1508873400,88,48.93,2.45,62.6,5.82
120,Langub,8,PH,1508873865,100,10.8,123.54,76.43,1.25
121,Kinalansan,92,PH,1508873866,100,13.7,123.55,76.34,9.08
122,Shunyi,48,CN,1508871600,100,40.12,116.65,44.6,2.15
123,Lechinta,90,RO,1508871600,87,47.02,24.35,50.0,1.12
124,Exu,20,BR,1508868000,26,-7.51,-39.72,96.8,17.22
125,Tyup,0,KG,1508873867,86,42.73,78.36,17.57,2.26
126,Watsa,32,CD,1508873867,94,3.04,29.54,66.89,2.71
127,Cibadak,20,ID,1508869800,88,-6.58,106.48,78.8,5.82
128,Gradistea,88,RO,1508873868,86,44.23,27.22,48.35,25.3
129,Koping,92,SE,1508872800,75,59.51,15.99,42.8,11.41
130,Istaravshan,20,TJ,1508871600,66,39.91,69.0,48.2,4.47
131,Suzano,90,BR,1508871600,82,-23.54,-46.31,71.6,8.05
132,Mariano Escobedo,48,MX,1508873870,50,18.92,-97.12,64.77,4.83
