id,state_name,vet_population,vet_percent,year,state,question,response,depressed,population,,
1,Alabama,344304,16.1,2014,AL,Ever told you that you have a form of depression?,Yes,21.3,4849377,,
2,Alaska,69848,33.8,2014,AK,Ever told you that you have a form of depression?,Yes,15.6,736732,,
4,Arizona,483026,13.7,2014,AZ,Ever told you that you have a form of depression?,Yes,18.7,6731484,,
5,Arkansas,207886,15.1,2014,AR,Ever told you that you have a form of depression?,Yes,21.5,2966369,,
6,California,1693602,15.8,2014,CA,Ever told you that you have a form of depression?,Yes,13.3,38802500,,
8,Colorado,377992,19.5,2014,CO,Ever told you that you have a form of depression?,Yes,17,5355866,,
9,Connecticut,189056,10,2014,CT,Ever told you that you have a form of depression?,Yes,18.3,3596677,,
10,Delaware,72017,14.5,2014,DE,Ever told you that you have a form of depression?,Yes,18.3,935614,,
11,District of Columbia,28055,21.4,2014,DC,Ever told you that you have a form of depression?,Yes,18.1,658893,,
12,Florida,1461722,13.2,2014,FL,Ever told you that you have a form of depression?,Yes,16.2,19893297,,
13,Georgia,651283,18,2014,GA,Ever told you that you have a form of depression?,Yes,18.3,10097343,,
15,Hawaii,109871,31.8,2014,HI,Ever told you that you have a form of depression?,Yes,10.7,1419561,,
16,Idaho,115951,13.4,2014,ID,Ever told you that you have a form of depression?,Yes,19.5,1634464,,
17,Illinois,639445,12.3,2014,IL,Ever told you that you have a form of depression?,Yes,16.7,12880580,,
18,Indiana,408790,11.9,2014,IN,Ever told you that you have a form of depression?,Yes,20.7,6596855,,
19,Iowa,198627,12.3,2014,IA,Ever told you that you have a form of depression?,Yes,18.7,3107126,,
20,Kansas,187113,16.3,2014,KS,Ever told you that you have a form of depression?,Yes,18.6,2904021,,
21,Kentucky,280030,14.5,2014,KY,Ever told you that you have a form of depression?,Yes,23.9,4413457,,
22,Louisiana,261722,17.1,2014,LA,Ever told you that you have a form of depression?,Yes,18.7,4649676,,
23,Maine,113958,13,2014,ME,Ever told you that you have a form of depression?,Yes,23.7,1330089,,
24,Maryland,384882,20.8,2014,MD,Ever told you that you have a form of depression?,Yes,15.9,5976407,,
25,Massachusetts,338287,11.1,2014,MA,Ever told you that you have a form of depression?,Yes,21.7,6745408,,
26,Michigan,600135,9.6,2014,MI,Ever told you that you have a form of depression?,Yes,20.5,9909877,,
27,Minnesota,322421,11.8,2014,MN,Ever told you that you have a form of depression?,Yes,18.2,5457173,,
28,Mississippi,174500,14.8,2014,MS,Ever told you that you have a form of depression?,Yes,19.9,2994079,,
29,Missouri,438287,13.5,2014,MO,Ever told you that you have a form of depression?,Yes,21.7,6063589,,
30,Montana,84496,13.2,2014,MT,Ever told you that you have a form of depression?,Yes,20.4,1023579,,
31,Nebraska,127730,19,2014,NE,Ever told you that you have a form of depression?,Yes,17.7,1881503,,
32,Nevada,212314,16.4,2014,NV,Ever told you that you have a form of depression?,Yes,15.6,2839099,,
33,New Hampshire,99552,10.3,2014,NH,Ever told you that you have a form of depression?,Yes,21,1326813,,
34,New Jersey,360415,9.9,2014,NJ,Ever told you that you have a form of depression?,Yes,13.4,8938175,,
35,New Mexico,152055,16.5,2014,NM,Ever told you that you have a form of depression?,Yes,21.1,2085572,,
36,New York,773063,10.9,2014,NY,Ever told you that you have a form of depression?,Yes,15.9,19746227,,
37,North Carolina,673384,18,2014,NC,Ever told you that you have a form of depression?,Yes,19,9943964,,
38,North Dakota,50185,22.6,2014,ND,Ever told you that you have a form of depression?,Yes,17.3,739482,,
39,Ohio,759737,11,2014,OH,Ever told you that you have a form of depression?,Yes,20.9,11594163,,
40,Oklahoma,276695,17.2,2014,OK,Ever told you that you have a form of depression?,Yes,21.8,3878051,,
41,Oregon,295348,12.9,2014,OR,Ever told you that you have a form of depression?,Yes,24,3970239,,
42,Pennsylvania,821624,10.8,2014,PA,Ever told you that you have a form of depression?,Yes,19.7,12787209,,
44,Rhode Island,63726,9.9,2014,RI,Ever told you that you have a form of depression?,Yes,20.6,1055173,,
45,South Carolina,368017,17.8,2014,SC,Ever told you that you have a form of depression?,Yes,19.9,4832482,,
46,South Dakota,62645,16.8,2014,SD,Ever told you that you have a form of depression?,Yes,16.6,853175,,
47,Tennessee,450313,15.1,2014,TN,Ever told you that you have a form of depression?,Yes,21.4,6549352,,
48,Texas,1496724,20.4,2014,TX,Ever told you that you have a form of depression?,Yes,14.6,26956958,,
49,Utah,131381,19.5,2014,UT,Ever told you that you have a form of depression?,Yes,20.7,2942902,,
50,Vermont,43725,10.2,2014,VT,Ever told you that you have a form of depression?,Yes,21.8,626562,,
51,Virginia,690427,27.1,2014,VA,Ever told you that you have a form of depression?,Yes,17.4,8326289,,
53,Washington,558895,18.2,2014,WA,Ever told you that you have a form of depression?,Yes,21.6,7061530,,
54,West Virginia,140755,12.9,2014,WV,Ever told you that you have a form of depression?,Yes,23.6,1850326,,
55,Wisconsin,368281,12,2014,WI,Ever told you that you have a form of depression?,Yes,17,5757564,,
56,Wyoming,45420,18.7,2014,WY,Ever told you that you have a form of depression?,Yes,19,584153,,
72,Puerto Rico,89665,14.8,2014,PR,Ever told you that you have a form of depression?,Yes,18.5,3548397,,
,,,,,,,,,,,
,,,,,,,,,,,
